A9 Ballinluig,7_1009.jpg,297641,752560
A9 Balvraid South,4_1484_cam1.jpg,277358,894544
A9 Daviot North,4_1372_cam1.jpg,271905,836937
A9 Daviot South,4_1372_cam2.jpg,271905,836937
A9 Dornoch Bridge South,4_1458_cam1.jpg,274783,886453
A9 Drumochter North,4_1191_cam1.jpg,262600,777600
A9 Drumochter South,4_1191_cam2.jpg,262600,777600
A9 Kessock,7_1017.jpg,266077,847953
A9 Kingussie,7_1006.jpg,277195,801654
A9 Loaninghead East,4_472_cam1.jpg,291780,709648
A9 Loaninghead West,4_472_cam2.jpg,291780,709648
A9 Milton of Leys,7_1014.jpg,269794,843916
A9 Newtonmore,7_1024.jpg,273045,798357
A9 North Kessock,7_1015.jpg,264828,848563
A9 Ord Ousdale North,4_781_cam1.jpg,306700,919700
A9 Ord Ousdale South,4_781_cam2.jpg,306700,919700
A9 Seafield,7_1010.jpg,267832,846177
A9 Slochd North,4_1366_cam1.jpg,282600,826400
A9 Slochd South,4_1366_cam2.jpg,282600,826400
A90 Birness North,4_237_cam1.jpg,400650,834833
A90 Birness South,4_237_cam2.jpg,400650,834833
A90 Charlestown North,4_228_cam1.jpg,393247,800265
A90 Charlestown South,4_228_cam2.jpg,393247,800265
A90 Dalmeny,7_717.jpg,314700,677151
A90 Echline,7_310.jpg,312492,677672
A90 Fiddes East,4_515_cam1.jpg,380074,780672
A90 Fiddes West,4_515_cam2.jpg,380074,780672
A90 Forfar North,4_391_cam1.jpg,343320,750463
A90 Forfar South,4_391_cam2.jpg,343320,750463
A90 Laurencekirk North,4_239_cam2.jpg,373100,773300
A90 Laurencekirk South,4_239_cam1.jpg,373100,773300
A90 Longforgan East,4_474_cam1.jpg,333100,730500
A90 Longforgan West,4_474_cam2.jpg,333100,730500
A90 Scotstoun ( E ),7_718.jpg,314025,677064
A92 Cluny East,4_520_cam1.jpg,324800,694712
A92 Cluny West,4_520_cam2.jpg,324800,694712
A92 Crossgates,7_736.jpg,313973,688975
A92 Crossgates Sth,7_735.jpg,313611,688486
A92 New Inn North,4_521_cam1.jpg,328379,705257
A92 New Inn South,4_521_cam2.jpg,328379,705257
A92 Sandford North,4_523_cam2.jpg,341000,724100
A92 Sandford South,4_523_cam1.jpg,341000,724100
A95 Ballindalloch East,4_252_cam1.jpg,317255,836198
A95 Ballindalloch West,4_252_cam2.jpg,317255,836198
A95 Grantown East,4_300_cam1.jpg,306170,826756
A95 Grantown West,4_300_cam2.jpg,306170,826756
A956 Bridge of Don North,4_1659_cam1.jpg,394658,810499
A96 Delnies East,4_1365_cam1.jpg,284770,855335
A96 Delnies West,4_1365_cam2.jpg,284770,855335
A96 Fochabers West,4_253_cam1.jpg,337388,855789
A96 Foudland East,4_235_cam1.jpg,362300,834500
A96 Foudland West,4_235_cam2.jpg,362300,834500
A96 Tyrebagger East,4_230_cam1.jpg,384872,811359
A96 Tyrebagger West,4_230_cam2.jpg,384872,811359
A985 Kincardine Bridge,7_952.jpg,292891,687319
A985 Kincardine Br (N),4_2158_cam1.jpg,293229,686969
M73 Drumcavel,7_183.jpg,270784,669479
M73 Gartcosh,7_182.jpg,270321,668317
M73 Westfield Link,7_611.jpg,271198,671572
M74 Auchenshuggle,7_509.jpg,263794,662509
M74 Beattock East,4_354_cam1.jpg,298873,615853
M74 Beattock West,4_354_cam2.jpg,298873,615853
M74 Caledonia Rd,7_504.jpg,259316,662990
M74 Cambuslang,7_508.jpg,262666,661784
M74 Fullarton Rd,7_510.jpg,264276,662307
M74 Glasgow Rd,7_506.jpg,260496,662179
M74 Hamilton Services,7_189.jpg,272691,656691
M74 Haughhead,7_191.jpg,273910,655100
M74 Kingston,7_501.jpg,258035,664370
M74 Larkhall,7_193.jpg,275947,653610
M74 Laurieston,7_503.jpg,258786,663295
M74 Maryville,7_29.jpg,268464,661907
M74 Millbank North,4_357_cam1.jpg,285623,632980
M74 Millbank South,4_357_cam2.jpg,285623,632980
M74 Paisley Rd,7_500.jpg,257784,664376
M74 Polmadie,7_505.jpg,259617,662861
M74 Rutherglen,7_507.jpg,262266,661806
M74 Tannochside,7_185.jpg,269763,661162
M74 Uddingston,7_186.jpg,270438,660542
M77 Crookfur Rd,7_119.jpg,252914,657586
M77 Dodside Rd,7_120.jpg,252415,656714
M77 Fenwick,7_128.jpg,246193,643728
M77 Floak,7_125.jpg,249287,649341
M77 Galston Rd,7_127.jpg,247735,645446
M77 Kingswell,7_126.jpg,249027,646669
M77 Maidenhill,7_123.jpg,252362,653968
M77 Malletsheugh,7_122.jpg,252399,654715
M77 Netherplace,7_121.jpg,252323,655723
M77 Nitshill Road,7_117.jpg,253726,659548
M77 Patterton,7_118.jpg,253661,658506
M77 St.Martins,7_124.jpg,250597,651873
M8 Baillieston (Nth),7_25.jpg,269223,664366
M8 Baird Rd,7_204.jpg,313898,671578
M8 Bathgate,7_168.jpg,300060,667880
M8 Baillieston ( roundabout ),7_26.jpg,269350,664094
M8 Bishopton East,4_1300_cam2.jpg,243296,671976
M8 Bishopton West,4_1300_cam1.jpg,243296,671976
M8 Cardonald,7_8.jpg,253453,664799
M8 Charing X Tunnel,7_80.jpg,258099,666297
M8 Claylands,7_205.jpg,312934,671207
M8 Duntilland East,4_1231_cam1.jpg,284094,663171
M8 Duntilland West,4_1231_cam2.jpg,284094,663171
M8 Eastfield,7_161.jpg,288492,664166
M8 Erskine Br (M8),7_1021.jpg,244795,670258
M8 Gartcraig Rd,7_19.jpg,264139,665986
M8 Glasgow Airport,7_53.jpg,247899,665905
M8 Glasgow Fort,7_21.jpg,266090,666141
M8 Gogar Station Rd,7_201.jpg,317797,670690
M8 Harthill,7_162.jpg,290924,665104
M8 Heartlands,7_163.jpg,293645,665445
M8 Helen St,7_9.jpg,254390,664523
M8 Hilton,7_13.jpg,258027,665672
M8 Junction 3,4_2946_cam1.jpg,304298,670347
M8 Kingston Br,7_12.jpg,257985,664757
M8 Livingston,7_171.jpg,304750,670280
M8 Loup-o-Lees,7_206.jpg,311245,671141
M8 Plantation,7_111.jpg,256215,664150
M8 Port Dundas,7_90.jpg,259130,666441
M8 Provan,7_39.jpg,262218,666191
M8 Ransfield Rd,7_202.jpg,316466,670428
M8 Roddinglaw,7_203.jpg,315774,671258
M8 Shieldhall,7_76.jpg,253021,665521
M8 St James (A737),7_55.jpg,246826,665373
M8 Whitburn,7_165.jpg,296170,665520
M8 Whitburn (E),7_166.jpg,297110,666020
M8 Whitburn Junction 4 West,4_1411_cam1.jpg,296749,665541
M8 Whitburn West,7_164.jpg,294320,665460
M8 Whitecart Viaduct,7_52.jpg,248859,665806
M80 Arronhill,7_606.jpg,266827,669947
M80 Auchengeich,7_608.jpg,268613,671411
M80 Auchenkilns,7_614.jpg,274165,673918
M80 Bankhead North,4_1225_cam2.jpg,280573,680528
M80 Bankhead South,4_1225_cam1.jpg,280573,680528
M80 Banknock,7_620.jpg,278816,678308
M80 Castlecary,7_619.jpg,278822,678179
M80 Condorrat,7_613.jpg,272789,672785
M80 Crowwood R'bout,7_46.jpg,267332,669069
M80 Dunns Wood,7_618.jpg,278073,677357
M80 Gartferry,7_610.jpg,269758,671851
M80 Haggs,7_621.jpg,278948,679530
M80 Hornshill,7_605.jpg,266348,669680
M80 Lindsaybeg,7_607.jpg,267704,670517
M80 Mollinsburn,7_612.jpg,272125,672046
M80 Moodiesburn,7_609.jpg,269047,671777
M80 Old Inns,7_617.jpg,277017,676604
M80 Seafar,7_615.jpg,275153,674910
M80 Westerwood,7_616.jpg,276379,676142
M9 Bannockburn North,4_1219_cam2.jpg,280612,688786
