stationName;KISID;typeStation;lat;lon;altitude;startDate;endDate;locationCode
Blerick;895_N;Neerslagstation (8-8);0;0;170;19510701;19530531;
Bloemendaal;247_H;AWS;52.421667;4.555556;180;19941228;20010605;
Blokzijl;353_N;Neerslagstation (8-8);52.728611;5.955278;.6;19510101;99991231;
Bocholt;10406_G;Grensstation;51.833333;6.533333;9999;19970927;20130501;
Bodegraven;417_N;Neerslagstation (8-8);52.078056;4.731111;9999;19970110;17000101;
Bonaire;990_W_a;Flamingo Airport;12.13;-67.724167;99999;20130408;99991231;t;
Bonaire;990_T_a;Flamingo Airport;12.13;-67.724167;99999;20130408;99991231;t;
Bonaire;990_S_a;Flamingo Airport;12.13;-67.724167;99999;20130408;99991231;t;
Bonaire;990_R_a;Flamingo Airport;12.13;-67.724167;99999;20130408;99991231;t;
Bonaire;990_A_a;Flamingo Airport;12.13;-67.724167;99999;20130408;99991231;t;
Bonaire;990_V;0;0;0;NA;20161019;99991231;
Bonaire;990_C_a;0;0;NA;0;20161019;99991231;
Bonaire;990_H;0;0;0;NA;20161019;99991231;
Boornbergum FR;55_N;Neerslagstation (8-8);0;0;5;19510201;19511130;
Borculo;669_N;Neerslagstation (8-8);52.092308;6.532753;16.95;19510101;99991231;
Borger;138_N;Neerslagstation (8-8);0;0;110;19510101;19530410;
Borne;648_N;Neerslagstation (8-8);52.300833;6.7675;9999;19970110;17000101;
Boskoop;442_N;Neerslagstation (8-8);52.083436;4.681617;-1.79;19320101;99991231;
Boxtel;907_N;Neerslagstation (8-8);51.581167;5.333;7.9;19510101;99991231;
Boxtel;916_N;Neerslagstation (8-8);0;0;91;19510101;19570610;
Breskens;705_N;Neerslagstation (8-8);51.396556;3.545667;1.74;19610101;99991231;
Breskens (oud);712_N;Neerslagstation (8-8);51.395833;3.569722;9999;19970110;17000101;
Breuggen;10401_G;Grensstation;51.2;6.133333;9999;19510101;20130501;
Brielle;464_N;Neerslagstation (8-8);51.901806;4.155833;.1;19510101;99991231;
Brouwershaven;736_N;Neerslagstation (8-8);51.73425;3.8835;-1.3;19510101;99991231;
Bruchem;411_Z;Zonneschijn;51.781111;5.263333;9999;19510101;19840731;
